
UBV CCD observations


  No    Ref    V       B-V     U-B
 0909   562  19.188   1.852         
 0910   562  19.188   1.111         
 0911   562  19.191   1.185         
 0912   562  19.192   1.214         
 0914   562  19.198   0.969         
 0915   562  19.202   1.283         
 0916   562  19.204   1.395         
 0917   562  19.205   1.291         
 0918   562  19.208   1.390         
 0919   562  19.209   1.393         
 0920   562  19.211   1.326         
 0921   562  19.213   1.337         
 0922   562  19.214   1.383         
 0924   562  19.215   1.784         
 0925   562  19.216   1.155         
 0926   562  19.218   1.440         
 0927   562  19.219   1.264         
 0928   562  19.219   1.304         
 0929   562  19.220   1.925         
 0930   562  19.225   1.507         
 0931   562  19.226   1.467         
 0932   562  19.228   1.191         
 0933   562  19.230   1.338         
 0934   562  19.231   1.250         
 0935   562  19.234   1.380         
 0936   562  19.236   1.371         
 0937   562  19.236   1.355         
 0938   562  19.239   1.233         
 0939   562  19.241   1.145         
 0940   562  19.246   1.489         
 0941   562  19.246   1.651         
 0942   562  19.247   1.267         
 0943   562  19.248   1.298         
 0944   562  19.249   1.263         
 0945   562  19.252   1.326         
 0946   562  19.256   1.773         
 0947   562  19.258   1.296         
 0949   562  19.262   1.388         
 0950   562  19.262   1.462         
 0951   562  19.262   1.363  -0.090
 0952   562  19.263   1.589         
 0953   562  19.264   1.525         
 0954   562  19.264   1.356         
 0955   562  19.268   1.651         
 0957   562  19.272   1.348         
 0958   562  19.272   1.359         
 0959   562  19.273   1.855         
 0960   562  19.280   1.261         
 0961   562  19.280   1.881         
 0962   562  19.289   1.245         
 0963   562  19.290   1.511         
 0964   562  19.291   2.322         
 0965   562  19.297   1.899         
 0966   562  19.298   1.456         
 0967   562  19.300   1.673         
 0969   562  19.304   1.520  -0.027
 0970   562  19.306   1.390         
 0971   562  19.310   1.194         
 0972   562  19.317   1.348         
 0973   562  19.324   1.456         
 0974   562  19.324   1.760         
 0975   562  19.330   1.356         
 0976   562  19.332   1.328         
 0977   562  19.333   1.631         
 0978   562  19.334   1.789         
 0980   562  19.338   1.935         
 0981   562  19.339   1.529         
 0982   562  19.341   2.270         
 0983   562  19.346   1.609         
 0984   562  19.352   1.117         
 0985   562  19.353   1.596         
 0986   562  19.358   1.353         
 0988   562  19.367   1.796         
 0989   562  19.368   1.283         
 0990   562  19.369   1.335         
 0991   562  19.370   1.344         
 0992   562  19.371   1.216         
 0994   562  19.376   1.514         
 0995   562  19.377   1.390         
 0996   562  19.380   1.331         
 0997   562  19.384   0.890         
 0998   562  19.387   1.225         
 0999   562  19.387   1.308         
 1000   562  19.388   1.447         
 1001   562  19.392   1.335         
 1002   562  19.394   1.477         
 1003   562  19.394   1.615         
 1004   562  19.395   1.374         
 1005   562  19.397   1.571         
 1006   562  19.397   1.296         
 1007   562  19.398   0.924         
 1008   562  19.399   1.229         
 1009   562  19.403   1.231         
 1010   562  19.406   2.071         
 1011   562  19.410   1.336         
 1012   562  19.411   1.685         
 1013   562  19.420   1.453         
 1015   562  19.431   1.229         
 1016   562  19.435   1.581         
 1018   562  19.435   1.503         
 1019   562  19.436   1.486         
 1020   562  19.440   1.857         
 1021   562  19.447   1.565         
 1022   562  19.449   1.480         
 1023   562  19.449   1.337         
 1024   562  19.450   1.317         
 1025   562  19.453   1.388         
 1027   562  19.458   1.169         
 1028   562  19.460   1.377         
 1029   562  19.462   1.578         
 1030   562  19.465   1.420         
 1032   562  19.467   1.433         
 1033   562  19.471   1.344         
 1035   562  19.475   1.634         
 1037   562  19.479   1.639         
 1038   562  19.480   1.551         
 1039   562  19.482   1.858         
 1040   562  19.482   1.227         
 1041   562  19.482   1.824         
 1042   562  19.483   1.726         
 1043   562  19.489   1.493         
 1044   562  19.490   1.474         
 1045   562  19.493   1.487         
 1046   562  19.495   1.488         
 1048   562  19.498   1.939         
 1049   562  19.498   1.678         
 1050   562  19.498   1.544         
 1051   562  19.499   1.442         
 1054   562  19.505   1.336         
 1055   562  19.507   1.525         
 1056   562  19.507   1.453         
 1057   562  19.511   1.472         
 1058   562  19.511   1.641         
 1060   562  19.515   1.540         
 1061   562  19.516   1.615         
 1062   562  19.517   1.188         
 1063   562  19.518   1.233         
 1065   562  19.523   1.309         
 1067   562  19.528   1.343         
 1068   562  19.529   1.589         
 1069   562  19.529   1.384         
 1070   562  19.530   1.705         
 1071   562  19.531   1.250         
 1072   562  19.532   1.460         
 1073   562  19.532   1.350         
 1075   562  19.535   1.628         
 1076   562  19.540   1.282         
 1077   562  19.542   1.260         
 1078   562  19.542   1.026         
 1079   562  19.543   1.682         
 1080   562  19.544   1.480         
 1082   562  19.548   1.455         
 1083   562  19.548   1.574         
 1084   562  19.549   1.476         
 1085   562  19.551   1.897         
 1086   562  19.552   2.004         
 1087   562  19.557   1.270         
 1088   562  19.558   1.552         
 1089   562  19.558   1.305         
 1090   562  19.558   1.356         
 1091   562  19.560   1.300         
 1092   562  19.561   1.274         
 1094   562  19.565   1.244         
 1095   562  19.565   1.474         
 1096   562  19.567   0.895         
 1097   562  19.567   1.534         
 1098   562  19.568   1.402         
 1099   562  19.569   1.279         
 1100   562  19.569   1.501         
 1101   562  19.571   1.032         
 1102   562  19.571   1.372         
 1103   562  19.572   1.415         
 1104   562  19.573   1.773         
 1105   562  19.573   1.785         
 1106   562  19.577   1.210         
 1107   562  19.578   1.294         
 1109   562  19.580   1.220         
 1110   562  19.581   1.719         
 1111   562  19.582   1.512         
 1112   562  19.582   1.271         
 1113   562  19.582   1.383         
 1115   562  19.588   1.394         
 1118   562  19.598   1.470         
 1119   562  19.602   1.484         
 1121   562  19.609   1.352         
 1122   562  19.612   1.598         
 1123   562  19.612   1.448         
 1124   562  19.615   1.253         
 1125   562  19.616   1.197         
 1126   562  19.620   1.118         
 1127   562  19.623   1.276         
 1129   562  19.627   1.245         
 1130   562  19.628   1.805         
 1131   562  19.629   1.656         
 1132   562  19.629   1.598         
 1135   562  19.634   1.334         
 1137   562  19.636   1.260         
 1140   562  19.639   1.161         
 1141   562  19.640   1.794         
 1142   562  19.641   1.598         
 1145   562  19.644   1.331         
 1146   562  19.644   1.643         
 1147   562  19.646   1.186         
 1148   562  19.646   1.394         
 1149   562  19.648   1.300         
 1150   562  19.649   1.368         
 1151   562  19.655   1.533         
 1153   562  19.660   1.521         
 1154   562  19.660   1.862         
 1155   562  19.660   1.809         
 1156   562  19.662   1.468         
 1158   562  19.669   1.430         
 1160   562  19.672   1.641         
 1161   562  19.674   1.046         
 1162   562  19.676   1.605         
 1163   562  19.676   1.236         
 1166   562  19.685   1.255         
 1167   562  19.686   2.053         
 1168   562  19.687   1.211         
 1169   562  19.687   1.297         
 1171   562  19.690   1.141         
 1172   562  19.691   1.132         
 1173   562  19.692   1.757         
 1174   562  19.694   1.592         
 1175   562  19.698   1.659         
 1176   562  19.711   1.360         
 1177   562  19.712   1.427         
 1179   562  19.714   1.731         
 1180   562  19.718   1.166         
 1181   562  19.719   0.906         
 1183   562  19.720   1.223         
 1184   562  19.721   1.209         
 1185   562  19.722   1.695         
 1189   562  19.726   1.648         
 1190   562  19.728   1.678         
 1192   562  19.730   1.199         
 1194   562  19.733   1.406         
 1195   562  19.735   1.761         
 1196   562  19.735   1.221         
 1198   562  19.738   1.055         
 1199   562  19.738   1.486         
 1200   562  19.739   1.267         
 1201   562  19.741   1.248         
 1202   562  19.741   1.281         
 1203   562  19.742   1.287         
 1204   562  19.743   1.158         
 1205   562  19.743   1.450         
 1206   562  19.745   1.442         
 1207   562  19.747   1.656         
 1208   562  19.748   1.314         
 1210   562  19.755   1.271         
 1211   562  19.755   1.247         
 1212   562  19.756   1.458         
 1213   562  19.758   1.552         
 1215   562  19.760   1.261         
 1216   562  19.760   1.376         
 1217   562  19.760   1.341         
 1218   562  19.760   1.384         
 1219   562  19.763   1.072         
 1220   562  19.765   1.438         
 1221   562  19.767   1.424         
 1222   562  19.769   1.422         
 1225   562  19.775   1.453         
 1226   562  19.775   1.427         
 1228   562  19.783   1.276         
 1229   562  19.784   1.466         
 1230   562  19.787   1.735         
 1231   562  19.788   1.715         
 1233   562  19.790   1.815         
 1236   562  19.791   1.809         
 1238   562  19.795   1.434         
 1239   562  19.799   1.861         
 1240   562  19.805   1.368         
 1241   562  19.807   1.348         
 1242   562  19.807   0.484         
 1243   562  19.809   1.261         
 1244   562  19.815   1.493         
 1245   562  19.815   1.210         
 1246   562  19.816   1.437         
 1248   562  19.818   1.409         
 1250   562  19.820   1.561         
 1252   562  19.822   1.502         
 1254   562  19.825   1.188         
 1255   562  19.834   1.951         
 1256   562  19.834   1.391         
 1257   562  19.837   1.691         
 1258   562  19.840   1.766         
 1263   562  19.845   1.505         
 1265   562  19.847   1.233         
 1266   562  19.849   1.372         
 1267   562  19.850   1.331         
 1271   562  19.863   1.614         
 1272   562  19.864   2.021         
 1273   562  19.865   1.461         
 1276   562  19.869   1.570         
 1277   562  19.872   1.312         
 1278   562  19.873   1.273         
 1280   562  19.875   1.333         
 1282   562  19.875   1.340         
 1283   562  19.875   1.219         
 1286   562  19.882   1.279         
 1287   562  19.882   1.231         
 1289   562  19.884   1.582         
 1290   562  19.885   1.169         
 1291   562  19.885   1.652         
 1292   562  19.887   1.387         
 1294   562  19.888   1.319         
 1295   562  19.890   1.351         
 1298   562  19.892   1.362         
 1299   562  19.894   1.152         
 1300   562  19.896   1.356         
 1301   562  19.899   1.514         
 1302   562  19.901   1.606         
 1305   562  19.903   1.498         
 1306   562  19.905   1.241         
 1307   562  19.910   1.496         
 1308   562  19.910   1.384         
 1309   562  19.913   1.348         
 1312   562  19.918   2.354         
 1314   562  19.919   1.232         
 1316   562  19.922   1.327         
 1317   562  19.923   1.652         
 1318   562  19.924   1.429         
 1322   562  19.930   1.915         
 1324   562  19.935   1.631         
 1326   562  19.937   1.304         
 1327   562  19.938   1.476         
 1328   562  19.938   1.347         
 1329   562  19.938   1.422         
 1330   562  19.939   1.227         
 1331   562  19.942   1.515         
 1332   562  19.944   1.251         
 1333   562  19.944   1.272         
 1334   562  19.945   1.510         
 1338   562  19.954   1.531         
 1339   562  19.955   1.494         
 1340   562  19.957   1.450         
 1343   562  19.959   1.125         
 1345   562  19.963   1.449         
 1346   562  19.966   1.378         
 1347   562  19.969   1.611         
 1351   562  19.979   1.691         
 1352   562  19.983   1.123         
 1353   562  19.984   1.434         
 1356   562  19.990   1.332         
 1357   562  19.994   1.223         
 1362   562  19.999   1.375         
 1363   562  20.002   1.335         
 1364   562  20.003   1.337         
 1365   562  20.004   1.746         
 1366   562  20.005   1.405         
 1367   562  20.006   1.026         
 1368   562  20.006   1.605         
 1369   562  20.009   1.359         
 1370   562  20.010   1.238         
 1372   562  20.012   1.611         
 1373   562  20.015   1.413         
 1375   562  20.017   1.873         
 1376   562  20.018   1.238         
 1380   562  20.023   1.318         
 1383   562  20.032   1.477         
 1387   562  20.034   1.294         
 1389   562  20.036   1.702         
 1390   562  20.038   1.185         
 1395   562  20.046   2.061         
 1398   562  20.050   1.535         
 1400   562  20.056   1.548         
 1402   562  20.061   1.255         
 1404   562  20.062   1.191         
 1407   562  20.064   1.508         
 1408   562  20.065   0.545         
 1410   562  20.066   1.273         
 1411   562  20.066   2.410         
 1416   562  20.073   1.711         
 1417   562  20.073   1.451         
 1418   562  20.074   1.408         
 1421   562  20.079   1.257         
 1422   562  20.079   1.263         
 1423   562  20.081   1.380         
 1424   562  20.082   1.477         
 1425   562  20.082   1.660         
 1426   562  20.083   1.292         
 1427   562  20.083   1.575         
 1429   562  20.084   1.665         
 1430   562  20.085   0.830         
 1433   562  20.092   1.476         
 1435   562  20.094   1.736         
 1436   562  20.095   1.446         
 1437   562  20.098   1.261         
 1438   562  20.099   1.351         
 1439   562  20.099   1.909         
 1441   562  20.100   1.572         
 1442   562  20.100   1.305         
 1443   562  20.100   1.164         
 1446   562  20.102   1.349         
 1447   562  20.102   1.661         
 1448   562  20.102   1.362         
 1450   562  20.104   1.454         
 1453   562  20.111   1.451         
 1454   562  20.112   1.538         
 1455   562  20.112   1.109         
 1457   562  20.113   1.368         
 1467   562  20.131   1.795         
 1468   562  20.135   1.468         
 1471   562  20.139   1.325         
 1475   562  20.143   1.381         
 1477   562  20.146   0.908         
 1479   562  20.148   1.357         
 1481   562  20.150   1.597         
 1482   562  20.151   1.582         
 1484   562  20.153   1.242         
 1485   562  20.155   1.263         
 1486   562  20.159   0.992         
 1487   562  20.161   1.600         
 1489   562  20.163   1.376         
 1496   562  20.176   1.333         
 1501   562  20.187   1.669         
 1505   562  20.190   1.234         
 1506   562  20.190   1.375         
 1507   562  20.193   1.922         
 1508   562  20.193   1.420         
 1510   562  20.194   1.376         
 1512   562  20.196   1.225         
 1514   562  20.200   1.163         
 1515   562  20.201   1.861         
 1523   562  20.211   1.316         
 1526   562  20.214   1.310         
 1530   562  20.219   1.677         
 1535   562  20.223   1.615         
 1540   562  20.232   1.301         
 1541   562  20.232   1.237         
 1543   562  20.234   1.133         
 1545   562  20.235   1.407         
 1547   562  20.237   1.368         
 1549   562  20.243   1.409         
 1550   562  20.243   1.388         
 1553   562  20.248   1.260         
 1556   562  20.249   1.299         
 1557   562  20.250   1.712         
 1558   562  20.251   1.446         
 1562   562  20.254   1.198         
 1563   562  20.255   1.299         
 1568   562  20.257   1.369         
 1570   562  20.263   1.239         
 1571   562  20.265   1.321         
 1575   562  20.267   1.561         
 1576   562  20.269   1.206         
 1578   562  20.273   1.406         
 1579   562  20.273   1.513         
 1586   562  20.277   0.936         
 1587   562  20.277   1.499         
 1589   562  20.279   0.761         
 1593   562  20.282   1.006         
 1600   562  20.287   1.252         
 1603   562  20.291   1.326         
 1604   562  20.292   2.096         
 1608   562  20.297   1.505         
 1609   562  20.299   1.363         
 1613   562  20.303   1.934         
 1616   562  20.310   1.323         
 1622   562  20.319   1.394         
 1627   562  20.323   1.114         
 1636   562  20.340   1.390         
 1639   562  20.342   1.241         
 1642   562  20.347   1.366         
 1646   562  20.350   1.598         
 1653   562  20.355   1.005         
 1655   562  20.356   1.406         
 1656   562  20.359   1.483         
 1672   562  20.377   1.586         
 1686   562  20.397   1.442         
 1688   562  20.397   1.108         
 1689   562  20.398   1.251         
 1695   562  20.412   1.375         
 1713   562  20.428   1.565         
 1720   562  20.439   1.526         
 1727   562  20.451   0.983         
 1741   562  20.469   1.534         
 1767   562  20.503   1.425         
 1776   562  20.507   1.468         
 1779   562  20.508   1.169         
 1780   562  20.509   1.226         
 1798   562  20.522   1.238         
 1803   562  20.527   1.297         
 1815   562  20.545   1.116         
 1821   562  20.556   1.159         
 1823   562  20.562   1.308         
 1830   562  20.571   1.177         
 1837   562  20.580   1.297         
 1858   562  20.600   1.478         
 1859   562  20.602   0.967         
 1861   562  20.605   1.115         
 1871   562  20.622   1.366         
 1888   562  20.639   1.332         
 1889   562  20.640   1.653         
 1893   562  20.642   1.691         
 1899   562  20.647   1.991         
 1912   562  20.663   1.515         
 1913   562  20.665   1.203         
 1926   562  20.688   1.735         
 1944   562  20.718   1.198         
 1946   562  20.719   1.291         
 1963   562  20.738   1.641         
 1998   562  20.786   1.274         
 2014   562  20.818   1.493         
 2020   562  20.826   1.601         
 2065   562  20.886   0.831         
 2137   562  20.978   1.294         
 2182   562  21.064   0.709         
 2214   562  21.142   1.575         

