
UBV CCD observations


  No    Ref    V       B-V     U-B
 0186   562  16.504   0.988   0.233
 0187   562  16.506   1.146   0.719
 0188   562  16.514   1.029   0.395
 0189   562  16.516   1.215   0.421
 0190   562  16.518   1.155   0.446
 0191   562  16.529   1.122   0.337
 0192   562  16.545   1.295   0.558
 0193   562  16.553   2.654         
 0194   562  16.558   1.030   0.293
 0195   562  16.573   1.178   0.425
 0196   562  16.586   1.060   0.400
 0197   562  16.592   1.215   0.655
 0198   562  16.593   1.095   0.794
 0199   562  16.594   1.315   1.438
 0200   562  16.597   1.313   0.851
 0201   562  16.604   1.404   1.263
 0202   562  16.616   0.985   0.361
 0203   562  16.629   1.352   0.605
 0204   562  16.637   0.995   0.316
 0205   562  16.639   1.122   0.460
 0206   562  16.659   0.812   0.577
 0207   562  16.660   1.292   0.770
 0208   562  16.663   1.250   0.954
 0209   562  16.668   0.959   0.243
 0210   562  16.668   0.996   0.544
 0212   562  16.671   1.054   0.445
 0213   562  16.672   1.130   0.359
 0214   562  16.676   1.073   0.467
 0215   562  16.700   0.948   0.298
 0216   562  16.709   0.941   0.361
 0217   562  16.712   1.946         
 0218   562  16.727   1.045   0.624
 0219   562  16.738   0.966   0.497
 0220   562  16.750   1.249   0.717
 0221   562  16.751   0.792   0.492
 0222   562  16.754   1.395   0.698
 0223   562  16.758   1.165         
 0224   562  16.759   1.119   0.371
 0225   562  16.762   0.850   0.510
 0226   562  16.769   0.877   0.355
 0228   562  16.791   0.700         
 0229   562  16.792   1.329   0.651
 0230   562  16.795   1.156   0.400
 0231   562  16.799   1.364   1.872
 0232   562  16.799   1.064   0.296
 0233   562  16.803   1.100   0.356
 0234   562  16.815   1.184   0.570
 0235   562  16.823   0.890   0.397
 0236   562  16.831   1.123   0.445
 0237   562  16.831   1.271   1.338
 0239   562  16.840   1.964         
 0241   562  16.852   1.169   0.560
 0242   562  16.859   1.019   0.376
 0243   562  16.861   1.253   0.488
 0244   562  16.866   1.810         
 0245   562  16.873   1.158   0.733
 0246   562  16.877   1.074   0.404
 0247   562  16.877   1.513   1.336
 0248   562  16.881   0.948   0.519
 0249   562  16.900   2.033         
 0250   562  16.900   1.374   0.595
 0252   562  16.908   1.043   0.229
 0253   562  16.909   1.313   1.063
 0254   562  16.916   0.992   0.348
 0255   562  16.923   1.211   0.409
 0256   562  16.938   1.067   0.575
 0257   562  16.940   1.112   0.397
 0258   562  16.946   1.554   0.954
 0259   562  16.956   1.132   0.652
 0260   562  16.963   1.053   0.361
 0261   562  16.972   1.098   0.396
 0262   562  16.980   1.059   0.566
 0263   562  16.999   1.069   0.376
 0264   562  17.004   1.212   0.482
 0265   562  17.007   1.280   0.765
 0266   562  17.007   1.120   0.586
 0267   562  17.019   1.294   0.704
 0268   562  17.037   1.052   0.395
 0269   562  17.040   1.168   0.551
 0270   562  17.048   1.175   0.450
 0271   562  17.059   1.450         
 0272   562  17.068   0.814   0.766
 0274   562  17.074   1.056   0.404
 0275   562  17.075   1.571   1.034
 0276   562  17.096   1.287   0.636
 0277   562  17.097   1.820         
 0278   562  17.103   1.316   0.616
 0279   562  17.110   1.044   0.632
 0280   562  17.111   1.102   0.259
 0281   562  17.115   1.270   0.479
 0282   562  17.118   0.767   0.586
 0283   562  17.124   1.333   0.626
 0284   562  17.129   1.355   0.559
 0285   562  17.132   1.036   0.560
 0286   562  17.138   1.269   0.622
 0287   562  17.139   1.146  -0.234
 0288   562  17.146   1.158   0.332
 0289   562  17.147   1.419   0.745
 0290   562  17.152   0.983   0.367
 0291   562  17.162   1.308   0.514
 0293   562  17.168   1.624         
 0294   562  17.171   1.254   0.715
 0295   562  17.172   0.950   0.307
 0296   562  17.174   1.063   0.309
 0297   562  17.197   1.202   0.345
 0298   562  17.203   1.110   0.500
 0300   562  17.213   1.086   0.545
 0301   562  17.220   1.136   0.386
 0302   562  17.221   0.915   0.401
 0303   562  17.221   1.339   0.711
 0304   562  17.224   1.348   0.870
 0305   562  17.226   1.383   0.803
 0306   562  17.244   1.142   0.284
 0307   562  17.252   1.297   0.629
 0308   562  17.254   0.946   0.437
 0309   562  17.256   1.533   0.803
 0310   562  17.259   1.059   0.458
 0311   562  17.275   1.170   0.479
 0312   562  17.301   1.527   0.870
 0313   562  17.304   1.050   0.579
 0314   562  17.317   1.193   0.486
 0316   562  17.325   1.158   0.514
 0317   562  17.326   1.218   0.606
 0318   562  17.335   1.099   0.351
 0320   562  17.341   2.046         
 0322   562  17.351   1.256   0.629
 0323   562  17.356   1.082   0.413
 0324   562  17.356   1.348   0.852
 0325   562  17.363   1.075   0.473
 0326   562  17.379   1.167   0.382
 0327   562  17.390   1.236   0.605
 0328   562  17.395   1.102   0.325
 0329   562  17.395   1.078   0.669
 0330   562  17.400   1.420         
 0331   562  17.411   1.059   0.506
 0332   562  17.418   2.109         
 0333   562  17.420   1.281   0.712
 0334   562  17.425   1.132   0.345
 0335   562  17.430   1.209   0.813
 0336   562  17.437   1.020   0.257
 0337   562  17.439   1.378   1.171
 0338   562  17.444   2.480         
 0339   562  17.444   1.241   0.747
 0340   562  17.450   1.291   0.499
 0341   562  17.451   0.994   1.159
 0342   562  17.455   1.136   0.394
 0343   562  17.455   1.084   0.584
 0344   562  17.460   1.410   0.717
 0345   562  17.467   1.234   0.514
 0346   562  17.475   1.550   1.045
 0347   562  17.483   1.029   0.279
 0348   562  17.500   1.281         
 0349   562  17.513   1.167   0.839
 0350   562  17.515   1.189   0.645
 0351   562  17.527   1.069   0.306
 0352   562  17.529   1.110   0.327
 0353   562  17.538   1.040   0.260
 0354   562  17.551   1.192   0.352
 0355   562  17.552   1.370   0.717
 0356   562  17.552   1.083   0.386
 0357   562  17.553   0.952   0.801
 0359   562  17.566   1.874         
 0360   562  17.576   1.223   0.429
 0361   562  17.578   1.044   0.761
 0362   562  17.580   1.950         
 0363   562  17.581   1.133   0.410
 0364   562  17.584   1.551         
 0365   562  17.591   1.165   0.390
 0366   562  17.595   1.303         
 0367   562  17.604   1.109   0.379
 0368   562  17.611   1.030   0.355
 0369   562  17.613   1.194   0.690
 0370   562  17.617   1.150   0.410
 0371   562  17.623   1.566         
 0372   562  17.624   1.216   0.508
 0373   562  17.626   1.217   0.383
 0374   562  17.632   0.909   0.743
 0375   562  17.636   1.246   0.549
 0378   562  17.651   1.314   0.609
 0379   562  17.653   1.521         
 0380   562  17.653   1.331   0.697
 0381   562  17.659   1.264   0.739
