,RA,DEC,mag_B,emag_B,mag_V,emag_V,mag_BV,emag_BV
81,102.2887,0.3735,17.374,0.1577,14.159,0.3827,0.591,0.2919
82,102.2007,0.3717,18.063,0.1670,16.047,0.3875,-0.608,0.3032
83,102.1783,0.3671,15.791,0.1493,13.183,0.3843,-0.016,0.2896
84,102.1957,0.3671,16.608,0.1518,14.250,0.3827,-0.266,0.2887
85,102.1567,0.3654,17.533,0.1594,14.543,0.3827,0.366,0.2929
86,102.2908,0.3678,16.208,0.1501,13.308,0.3840,0.276,0.2897
87,102.2809,0.3656,14.121,0.1519,11.626,0.3902,-0.130,0.2986
88,102.1783,0.3625,18.223,0.1699,15.673,0.3854,-0.074,0.3021
89,102.2839,0.3615,17.870,0.1639,14.422,0.3826,0.825,0.2953
90,102.1635,0.3587,11.561,0.1664,9.058,0.4052,-0.121,0.3253
91,102.1685,0.3572,13.625,0.1540,11.300,0.3918,-0.299,0.3018
92,102.1656,0.3545,17.761,0.1624,14.418,0.3826,0.719,0.2944
93,102.2677,0.3562,18.121,0.1680,14.859,0.3830,0.637,0.2980
94,102.2697,0.3537,17.941,0.1650,14.573,0.3827,0.744,0.2959
95,102.1800,0.3503,16.058,0.1497,13.408,0.3838,0.025,0.2891
96,102.2940,0.3516,18.115,0.1679,14.278,0.3827,1.213,0.2975
97,102.2788,0.3508,18.006,0.1661,14.288,0.3827,1.094,0.2965
98,102.1925,0.3475,17.845,0.1636,15.176,0.3836,0.045,0.2963
99,102.2954,0.3492,17.259,0.1565,13.865,0.3830,0.770,0.2917
100,102.2854,0.3452,16.086,0.1498,13.237,0.3842,0.225,0.2897
101,102.1815,0.3427,16.047,0.1497,13.182,0.3843,0.241,0.2898
102,102.1751,0.3425,16.478,0.1512,13.812,0.3830,0.043,0.2889
103,102.2631,0.3418,17.749,0.1622,14.589,0.3827,0.536,0.2944
104,102.2838,0.3393,15.962,0.1495,13.141,0.3844,0.197,0.2899
105,102.2887,0.3381,17.084,0.1550,13.860,0.3830,0.600,0.2908
106,102.2909,0.3379,18.271,0.1708,14.289,0.3827,1.358,0.2991
107,102.2773,0.3370,18.181,0.1691,14.542,0.3827,1.015,0.2982
108,102.2693,0.3289,17.968,0.1654,14.486,0.3827,0.858,0.2961
109,102.2723,0.3271,18.093,0.1675,14.643,0.3827,0.826,0.2974
110,102.2838,0.3258,17.480,0.1588,14.160,0.3827,0.696,0.2926
