,RA_ICRS,DE_ICRS,e_RA_ICRS,e_DE_ICRS,mem_prob
0,106.00838006032,0.88175665599,0.2498,0.2384,1.0
9,105.99593256885,0.89312237738,0.3791,0.4108,0.9175809173101959
10,105.99924404815,0.89111922039,0.1975,0.1847,1.0
11,105.99623721742,0.8869483359,0.2556,0.2401,1.0
13,106.00185668081,0.88465477235,0.4064,0.4229,1.0
14,106.00753279517,0.88429257661,0.1515,0.1426,1.0
15,105.98941428166,0.88650469018,0.0581,0.0553,1.0
23,106.10810230019,0.90334583296,0.1356,0.1261,1.0
25,106.09653910941,0.89671188961,0.0797,0.0743,1.0
29,106.09993085866,0.9080952907,0.064,0.0591,0.8564528108704602
34,106.1069439172,0.90882077973,0.1587,0.1387,0.7949946482966191
39,106.10821366917,0.89797229846,0.056,0.0517,1.0
40,106.10267452347,0.90293251331,0.0577,0.0493,1.0
44,106.12608477444,0.92183946278,0.0828,0.072,1.0
45,106.12130022777,0.90530156203,0.1571,0.1473,1.0
47,106.11102913139,0.91471004319,0.0261,0.0242,1.0
55,106.12631146502,0.92444077395,0.1397,0.1285,0.8744100443048864
57,106.12542199522,0.92370764079,0.0609,0.0561,0.7383918486887336
60,106.12103412543,0.92017072952,0.1583,0.1398,1.0
73,106.11565390724,0.91011959057,0.1873,0.1726,1.0
75,106.13526118983,0.91712003328,0.3187,0.288,1.0
86,106.03944476919,0.88896881378,0.1929,0.1834,0.8084900256026522
87,106.0367188194,0.88905113251,0.1252,0.1184,1.0
88,106.04139361817,0.88144522009,0.1528,0.1475,0.9005380819347979
94,106.03933936925,0.88631791531,0.0389,0.0373,1.0
95,106.04416605549,0.88183408532,0.0611,0.0589,1.0
96,106.04726804102,0.88268879847,0.1103,0.1019,0.8759944666412672
97,106.03710452063,0.8894750066,0.3653,0.3637,0.8319822978336123
106,106.05447997918,0.89708435081,0.713,0.725,0.9776267468366919
107,106.04512105512,0.89662173731,0.2001,0.1847,0.9050471107913193
110,106.07088098201,0.88655567359,0.1205,0.1106,0.8471543999581848
119,106.05111853149,0.89909071244,0.2292,0.2088,1.0
125,106.06783949421,0.90004931846,0.0615,0.0591,0.7420244986010132
126,106.0480020669,0.90158859677,0.0322,0.0297,1.0
127,106.06205143798,0.90896516289,0.2045,0.1781,1.0
133,106.0653611148,0.90752486106,0.2143,0.1992,0.7987606423983993
143,106.07029175447,0.88519407486,0.0681,0.0631,1.0
144,106.05792522847,0.89521066398,0.1394,0.1306,1.0
147,106.05127323393,0.90352076838,0.1428,0.1307,0.8897086544472763
150,106.00884146681,0.90587388112,0.0651,0.0611,0.7479166988731726
