,Mreal,Mobs,e_mag,group
0,12.156000137329102,-10.986766491583676,0.054,-1.0
1,14.567000389099121,-10.29178962813509,0.04,0.0
2,14.192000389099121,-10.585462688445501,0.079,0.0
3,13.890999794006348,-10.855323311533914,0.054,0.0
4,14.746999740600586,-10.077500283943108,0.05,0.0
5,15.864999771118164,-9.188082877547078,0.057,0.0
6,16.392000198364258,-8.924112953749901,0.032,0.0
7,14.52400016784668,-10.070653043320537,0.05,0.0
8,14.079999923706055,-10.9499372286254,0.119,0.0
9,14.79699993133545,-8.631325685525738,0.078,-1.0
10,14.79699993133545,-9.957132701285703,0.078,0.0
11,13.02299976348877,-11.706334473678561,0.045,0.0
12,13.633000373840332,-11.073616063018346,0.056,0.0
13,12.038000106811523,-12.480387205718127,0.068,-1.0
14,12.038000106811523,-10.86466785054265,0.068,-1.0
15,15.425000190734863,-8.989076249197879,0.158,0.0
16,16.01799964904785,-9.071469815893584,0.022,0.0
17,14.0,-10.808762901228413,0.04,0.0
18,15.425000190734863,-9.362787713875479,0.158,0.0
19,16.016000747680664,-9.056516934143223,0.083,0.0
20,15.793000221252441,-8.96923147347699,0.113,0.0
21,15.300999641418457,-9.652436862540362,0.031,0.0
22,12.779999732971191,-11.879026464389604,0.046,0.0
23,13.74899959564209,-10.974989947127728,0.024,0.0
24,13.182000160217285,-11.51228237509472,0.069,0.0
25,13.33899974822998,-10.205251120717131,0.056,0.0
26,13.33899974822998,-11.180699015518984,0.056,0.0
27,12.265999794006348,-12.36519684763219,0.043,-1.0
28,13.847000122070312,-10.81304388158844,0.049,0.0
29,12.810999870300293,-11.873914494088558,0.054,0.0
30,15.53600025177002,-9.33005503779798,0.181,0.0
31,15.01099967956543,-9.597256462836999,0.04,0.0
32,13.652999877929688,-11.063984977034337,0.053,0.0
33,14.574000358581543,-10.07091350268469,0.076,0.0
34,14.755999565124512,-9.969818510593027,0.081,0.0
35,13.239999771118164,-11.413782066468634,0.069,0.0
36,15.156000137329102,-9.558200975287157,0.108,0.0
37,11.635000228881836,-9.009924734502814,0.067,-1.0
38,11.635000228881836,-12.978838900201193,0.067,-1.0
39,12.991000175476074,-11.674911650185711,0.058,0.0
40,14.395000457763672,-10.419440776025262,0.033,0.0
41,14.213000297546387,-10.456896750576423,0.064,0.0
42,14.109999656677246,-10.32153769895193,0.084,0.0
43,12.907999992370605,-10.21198750065775,0.115,-1.0
44,14.109999656677246,-9.37018008028568,0.084,-1.0
45,12.907999992370605,-11.568717301944503,0.115,0.0
46,15.675999641418457,-9.312170050596906,0.073,0.0
47,14.14799976348877,-10.446393948419793,0.065,0.0
48,15.788000106811523,-9.099967709514216,0.115,0.0
49,13.706000328063965,-10.86654477086081,0.064,0.0
50,13.265999794006348,-11.366728988805608,0.039,0.0
51,13.081000328063965,-11.52884526433633,0.061,0.0
52,12.920000076293945,-11.736307440618365,0.059,0.0
53,13.559000015258789,-11.074845721720873,0.076,0.0
54,14.373000144958496,-8.184684046971707,0.019,-1.0
55,12.767000198364258,-11.877227716247504,0.053,0.0
56,14.373000144958496,-10.262147367429817,0.019,0.0
57,15.006999969482422,-9.638213294008116,0.056,0.0
58,14.913000106811523,-9.87670668491502,0.064,0.0
59,9.89799976348877,-14.820559509204504,0.122,-1.0
60,15.979000091552734,-8.640157227395898,0.108,0.0
61,12.91100025177002,-11.730155754999398,0.068,0.0
62,14.670000076293945,-9.271108935611958,0.06,0.0
63,14.670000076293945,-9.444977796701146,0.06,0.0
64,15.163000106811523,-9.413567979937614,0.089,0.0
65,13.956999778747559,-10.6653930382112,0.062,0.0
66,15.458999633789062,-9.32111348802599,0.063,0.0
67,14.196000099182129,-10.378939178635353,0.023,0.0
68,13.729999542236328,-10.717792361071737,0.098,0.0
69,14.062000274658203,-10.609396503174366,0.055,0.0
70,13.204999923706055,-11.450681711632802,0.058,0.0
71,14.972000122070312,-9.796542239302727,0.038,0.0
72,14.112000465393066,-10.611544891076557,0.055,0.0
73,14.407999992370605,-10.237644536732587,0.055,0.0
74,15.031000137329102,-9.153178262219871,0.137,0.0
75,14.461999893188477,-8.420621200045783,0.052,-1.0
76,14.461999893188477,-10.094759671711547,0.052,0.0
77,13.706999778747559,-10.409262727012331,0.062,0.0
78,13.706999778747559,-10.649924980665276,0.062,0.0
79,14.031999588012695,-10.680217219300264,0.218,0.0
80,15.256999969482422,-9.569204072479748,0.006,0.0
81,15.486000061035156,-8.901563401525562,0.072,0.0
82,15.486000061035156,-8.063153669506189,0.072,-1.0
83,12.692000389099121,-11.962034967356054,0.049,0.0
84,11.89799976348877,-12.773425992129434,0.054,-1.0
85,13.508000373840332,-11.010125905255002,0.057,0.0
86,15.142000198364258,-9.558082621361603,0.134,0.0
87,15.04800033569336,-9.654370233803661,0.026,0.0
88,14.72599983215332,-9.976513420857591,0.056,0.0
89,15.572999954223633,-9.202410291024565,0.042,0.0
90,15.572999954223633,-8.60348117868927,0.042,0.0
91,15.57699966430664,-9.18924979325253,0.049,0.0
92,14.17300033569336,-10.508147608169814,0.073,0.0
93,15.3149995803833,-9.483213349672127,0.067,0.0
94,15.57800006866455,-9.23806305081387,0.07,0.0
95,15.095999717712402,-9.728361810705575,0.081,0.0
96,13.600000381469727,-11.065714238640894,0.063,0.0
97,16.413000106811523,-8.361984342055024,0.028,-1.0
98,12.713000297546387,-11.961710898761151,0.047,0.0
99,15.996000289916992,-9.20684804448123,0.062,0.0
100,12.85099983215332,-11.768394465058618,0.055,0.0
