,Mreal,Mobs,e_mag,group
0,15.10099983215332,-9.000633938432403,0.03,0.0
1,15.557000160217285,-8.60561771920685,0.045,0.0
2,15.470000267028809,-8.059497113277367,0.049,0.0
3,15.470000267028809,-8.34402698324765,0.049,0.0
4,14.956000328063965,-9.02335160749312,0.009,0.0
5,14.380000114440918,-9.642619091477075,0.02,0.0
6,13.940999984741211,-10.300099092174959,0.012,0.0
7,16.53700065612793,-7.962367137484505,0.072,0.0
8,12.925999641418457,-11.12663564904384,0.022,0.0
9,12.708999633789062,-11.281652544586134,0.019,0.0
10,15.270000457763672,-8.960045798414125,0.031,0.0
11,10.026000022888184,-13.966142429743684,0.03,-1.0
12,14.593000411987305,-9.536248831359705,0.022,0.0
13,14.515999794006348,-9.568235331618236,0.035,0.0
14,15.27400016784668,-8.819258763246875,0.034,0.0
15,14.91100025177002,-9.363016789816413,0.016,0.0
16,14.359000205993652,-9.849774975693341,0.028,0.0
17,14.604000091552734,-9.44650740428968,0.017,0.0
18,16.179000854492188,-8.052243228238908,0.03,0.0
19,14.868000030517578,-9.148948619806195,0.038,0.0
20,16.3439998626709,-7.072768820780708,0.036,-1.0
21,14.35099983215332,-9.729416798255523,0.027,0.0
22,16.3439998626709,-7.648563164773963,0.036,0.0
23,15.428000450134277,-8.726197648986902,0.026,0.0
24,15.76099967956543,-8.403926158664815,0.047,0.0
25,16.958999633789062,-7.495664209962455,0.213,0.0
26,12.128999710083008,-11.869096655412728,0.024,-1.0
27,16.958999633789062,-7.032912361946978,0.213,0.0
28,12.373000144958496,-11.753396431159244,0.013,-1.0
29,12.895000457763672,-10.86203418986301,0.033,0.0
30,14.380999565124512,-9.62241518419588,0.011,0.0
31,15.321000099182129,-9.093254945789017,0.023,0.0
32,12.895000457763672,-9.889405627484338,0.033,-1.0
33,13.09000015258789,-10.845252443198385,0.014,0.0
34,16.496999740600586,-7.86490376566332,0.045,0.0
35,13.413999557495117,-9.790979615582257,0.018,0.0
36,13.413999557495117,-9.939333736575822,0.018,0.0
37,13.413999557495117,-7.842890163748244,0.018,1.0
38,15.312000274658203,-8.756701777135788,0.037,0.0
39,16.52899932861328,-7.843894156146352,0.06,0.0
40,14.78600025177002,-9.237032458223986,0.045,0.0
41,13.62600040435791,-10.342981686520965,0.029,0.0
42,17.641000747680664,-7.07712068580191,0.358,-1.0
43,16.52899932861328,-7.714101198481868,0.06,0.0
44,14.336000442504883,-9.90164059901422,0.01,0.0
45,14.029000282287598,-9.820849671774127,0.015,0.0
46,14.017999649047852,-9.998755902556312,0.085,0.0
47,13.803000450134277,-7.213396995503228,0.01,1.0
48,16.052000045776367,-8.19675246952715,0.014,0.0
49,14.052000045776367,-10.111336369977655,0.012,0.0
50,13.803000450134277,-10.134696007116421,0.01,0.0
51,13.836999893188477,-10.069837710920256,0.026,0.0
52,14.961999893188477,-8.158499343058482,0.021,1.0
53,14.803000450134277,-9.267588002840228,0.027,0.0
54,14.961999893188477,-8.867110902948834,0.021,0.0
55,10.654000282287598,-13.285817860180693,0.032,-1.0
56,13.836999893188477,-8.447658829790708,0.026,1.0
57,13.722999572753906,-10.259010935472208,0.014,0.0
58,13.706999778747559,-10.311333398288031,0.024,0.0
59,16.208999633789062,-8.20854944143221,0.026,0.0
60,14.131999969482422,-6.944753342750537,0.023,1.0
61,14.131999969482422,-7.915116298257628,0.023,1.0
62,15.692000389099121,-8.412148854534129,0.019,0.0
