,Mreal,Mobs,e_mag,group
0,16.55299949645996,-8.7998627503616,0.06,0.0
1,14.588000297546387,-9.948332296103526,0.034,0.0
2,14.267000198364258,-10.202327076225643,0.022,0.0
3,15.208999633789062,-9.445597720985766,0.064,0.0
4,16.541000366210938,-8.684585609788671,0.157,0.0
5,17.334999084472656,-8.42756749786946,0.111,0.0
6,15.465999603271484,-9.40788416778837,0.07,0.0
7,14.302000045776367,-10.285662052996607,0.159,0.0
8,15.38599967956543,-8.325520910915547,0.078,1.0
9,15.38599967956543,-9.306387596668465,0.078,0.0
10,13.454999923706055,-10.953717003245526,0.055,0.0
11,14.015999794006348,-10.405936286390924,0.036,0.0
12,12.920999526977539,-11.348754841043283,0.038,0.0
13,12.920999526977539,-10.157615480700064,0.038,-1.0
14,15.991999626159668,-8.65769747213292,0.184,0.0
15,17.027999877929688,-8.510616878237864,0.034,0.0
16,14.380999565124512,-10.100186241564625,0.04,0.0
17,15.991999626159668,-8.914435755851134,0.184,0.0
18,15.694999694824219,-9.14205220585727,0.078,0.0
19,16.621999740600586,-8.629510863822995,0.061,0.0
20,15.822999954223633,-9.059010220297894,0.063,0.0
21,13.831999778747559,-10.77343068696454,0.036,0.0
22,16.516000747680664,-8.700112423535371,0.168,0.0
23,14.175000190734863,-10.294067079882439,0.026,0.0
24,13.54699993133545,-10.843096201486603,0.032,0.0
25,14.347000122070312,-9.009734347372214,0.075,-1.0
26,14.347000122070312,-10.111932161372616,0.075,0.0
27,13.256999969482422,-11.266388709694606,0.043,0.0
28,14.265999794006348,-10.204576837037425,0.043,0.0
29,13.152999877929688,-11.198626958061928,0.036,0.0
30,16.118000030517578,-9.006960804310687,0.064,0.0
31,15.60099983215332,-8.252421480111193,0.04,1.0
32,15.60099983215332,-9.161202808631336,0.04,0.0
33,17.15999984741211,-8.444486049611106,0.096,0.0
34,14.229000091552734,-10.283991117704838,0.036,0.0
35,15.104999542236328,-9.590837716846426,0.086,0.0
36,13.633999824523926,-10.766219343129924,0.032,0.0
37,15.755000114440918,-9.119258426033374,0.05,0.0
38,12.579000473022461,-8.680860950024,0.057,-1.0
39,12.579000473022461,-11.765793072692228,0.057,-1.0
40,13.416000366210938,-10.98973090150919,0.053,0.0
41,17.493999481201172,-8.434753525635461,0.496,0.0
42,14.82800006866455,-9.7787256822698,0.016,0.0
43,14.690999984741211,-9.867098386475217,0.021,0.0
44,15.232000350952148,-9.53168378798889,0.019,0.0
45,14.527999877929688,-9.777457937366869,0.037,0.0
46,13.904999732971191,-9.636025753739805,0.063,0.0
47,14.527999877929688,-8.919569204077126,0.037,-1.0
48,13.904999732971191,-10.446855328055008,0.063,0.0
49,16.240999221801758,-8.897882261607556,0.084,0.0
50,15.312000274658203,-9.489071601098066,0.078,0.0
51,16.611000061035156,-8.682105502618109,0.036,0.0
52,14.166999816894531,-10.221713449560868,0.042,0.0
53,13.6899995803833,-10.711357664168409,0.045,0.0
54,13.562999725341797,-10.838580753099809,0.039,0.0
55,13.279999732971191,-11.08665176208994,0.029,0.0
56,13.977999687194824,-10.455694198007048,0.043,0.0
57,14.817000389099121,-8.2982418532888,0.036,1.0
58,13.8100004196167,-10.816799370787988,0.054,0.0
59,14.817000389099121,-9.709461329632006,0.036,0.0
60,15.493000030517578,-9.25882134604458,0.02,0.0
61,15.67300033569336,-9.153346076280748,0.015,0.0
62,10.944999694824219,-13.649341097599896,0.029,-1.0
63,15.373000144958496,-9.46402428381926,0.045,0.0
64,16.76099967956543,-8.55360279325912,0.069,0.0
65,13.317000389099121,-11.073337223753821,0.04,0.0
66,16.46500015258789,-8.699588020458057,0.152,0.0
67,15.28499984741211,-8.957479576105403,0.053,0.0
68,15.28499984741211,-9.037520568779737,0.053,0.0
69,15.692000389099121,-9.136956019682057,0.009,0.0
70,13.189000129699707,-11.202110059047412,0.005,0.0
71,16.46500015258789,-8.260667207260848,0.152,0.0
72,16.812999725341797,-8.664810859638571,0.085,0.0
73,14.354000091552734,-10.118868127392345,0.038,0.0
74,16.368000030517578,-8.823006475423416,0.059,0.0
75,14.878999710083008,-9.753290229220005,0.026,0.0
76,14.178999900817871,-10.124749707134015,0.035,0.0
77,14.482999801635742,-10.032429241801392,0.017,0.0
78,13.600000381469727,-10.80733224778498,0.03,0.0
79,15.496000289916992,-9.265985971662124,0.056,0.0
80,14.494999885559082,-10.018959533999308,0.053,0.0
81,15.32699966430664,-9.49288020886,0.055,0.0
82,15.562000274658203,-8.972920761041973,0.057,0.0
83,15.170000076293945,-8.446073356702216,0.04,1.0
84,15.170000076293945,-9.454392832623169,0.04,0.0
85,14.182999610900879,-9.561132150993352,0.042,0.0
86,14.182999610900879,-9.897094327165696,0.042,0.0
87,14.446999549865723,-10.104358627170306,0.033,0.0
88,15.800999641418457,-9.070929902003481,0.021,0.0
89,16.152000427246094,-8.773840924207471,0.031,0.0
90,16.152000427246094,-8.336655379746759,0.031,0.0
91,13.824000358581543,-10.83237055266875,0.059,0.0
92,12.288000106811523,-12.059375865609853,0.025,-1.0
93,15.815999984741211,-9.128956873909713,0.107,0.0
94,15.531000137329102,-9.253303583839395,0.008,0.0
95,15.369999885559082,-9.429407674281181,0.08,0.0
96,17.631999969482422,-8.344223327515547,0.146,0.0
97,17.402999877929688,-8.395521480254818,0.122,0.0
98,16.14299964904785,-8.838941160315867,0.016,0.0
99,14.708999633789062,-9.878044478820573,0.055,0.0
100,15.890000343322754,-9.042230021395623,0.009,0.0
101,16.104000091552734,-8.870092736741324,0.055,0.0
102,15.946999549865723,-9.029426227579036,0.096,0.0
103,13.942000389099121,-10.494310140651866,0.033,0.0
104,17.04199981689453,-8.468325483363333,0.065,0.0
105,16.856000900268555,-8.581830141396567,0.081,0.0
106,13.722000122070312,-10.88993296666893,0.052,0.0
107,16.958999633789062,-8.578711113576562,0.121,0.0
108,18.41699981689453,-8.188848451141281,0.253,-1.0
109,13.982999801635742,-10.659338302280165,0.036,0.0
