,Mreal,Mobs,e_mag,group
0,14.621999740600586,-9.748005669980037,0.026,0.0
1,15.192000389099121,-9.302385677785846,0.055,0.0
2,16.35099983215332,-7.812619920168729,0.104,0.0
3,16.35099983215332,-7.080462215856999,0.104,-1.0
4,16.35099983215332,-5.659621748856688,0.104,-1.0
5,15.253999710083008,-9.229897546850534,0.066,0.0
6,12.354999542236328,-12.149251928552442,0.032,-1.0
7,16.04199981689453,-8.50174738079904,0.018,0.0
8,13.61299991607666,-10.944301715512951,0.029,0.0
9,16.641000747680664,-5.781462691301602,0.079,-1.0
10,16.641000747680664,-7.706698485443335,0.079,0.0
11,16.736000061035156,-4.697012863673925,0.052,-1.0
12,16.736000061035156,-8.119751767092701,0.052,0.0
13,15.180000305175781,-9.17832524348755,0.03,0.0
14,15.100000381469727,-8.414335795713196,0.071,-1.0
15,15.100000381469727,-9.009500456462828,0.071,0.0
16,14.869000434875488,-9.852406741165659,0.025,0.0
17,15.439000129699707,-9.069450403460191,0.041,0.0
18,14.22599983215332,-7.39019376366522,0.028,-1.0
19,14.22599983215332,-10.152003975979651,0.028,0.0
20,15.79800033569336,-8.77729084036326,0.101,0.0
21,13.793000221252441,-9.471856420315483,0.064,-1.0
22,13.793000221252441,-10.493008254516354,0.064,0.0
23,17.128999710083008,-8.094135656442852,0.095,0.0
24,14.39900016784668,-10.138862175209367,0.037,0.0
25,16.948999404907227,-7.745470801679596,0.044,0.0
26,11.99899959564209,-12.361082983120822,0.03,-1.0
27,15.972000122070312,-8.486258381904108,0.012,0.0
28,17.704999923706055,-6.532010270042323,0.171,-1.0
29,16.30500030517578,-7.955977388357034,0.051,0.0
30,16.30500030517578,-7.241572507707295,0.051,-1.0
31,16.365999221801758,-8.471064185445039,0.049,0.0
32,16.260000228881836,-8.262552605386075,0.016,0.0
33,13.982000350952148,-10.514081325633136,0.024,0.0
34,15.517000198364258,-8.968144057486953,0.042,0.0
35,15.236000061035156,-9.276103236840175,0.023,0.0
36,14.342000007629395,-10.063114405848037,0.016,0.0
37,14.342000007629395,-7.619033251203589,0.016,-1.0
38,15.956999778747559,-8.552609424907883,0.052,0.0
39,15.970999717712402,-8.345179651608843,0.043,0.0
40,15.970999717712402,-7.020837381271708,0.043,-1.0
41,15.935999870300293,-8.667054651825776,0.027,0.0
42,13.496000289916992,-10.92170500504037,0.027,0.0
43,15.708000183105469,-8.854761240058613,0.037,0.0
44,15.14799976348877,-9.30767307706359,0.029,0.0
45,16.486000061035156,-8.235071031321777,0.084,0.0
46,15.01200008392334,-9.498562603487144,0.029,0.0
47,16.256999969482422,-8.26961032122966,0.055,0.0
48,15.836000442504883,-8.708487464205634,0.043,0.0
49,16.594999313354492,-7.908522629551626,0.008,0.0
50,16.277000427246094,-8.300367785028476,0.053,0.0
51,13.852999687194824,-10.345592564622708,0.029,0.0
52,13.970999717712402,-10.565350567736779,0.016,0.0
53,11.581999778747559,-12.854616460674738,0.026,-1.0
54,14.027000427246094,-10.831440905257884,0.206,0.0
55,16.062000274658203,-5.405520875616671,0.046,-1.0
56,16.062000274658203,-8.447301675196487,0.046,0.0
57,16.163999557495117,-8.419518824328353,0.05,0.0
58,16.184999465942383,-8.457689519421317,0.031,0.0
59,16.540000915527344,-8.03541120039866,0.093,0.0
60,15.977999687194824,-8.541125589276339,0.037,0.0
61,16.999000549316406,-7.4413474683684075,0.056,0.0
62,16.999000549316406,-6.278275444982767,0.056,-1.0
63,17.128000259399414,-7.421970121019656,0.022,0.0
64,17.225000381469727,-7.195095737554881,0.113,0.0
65,14.878999710083008,-9.572866611524786,0.025,0.0
66,14.539999961853027,-9.881001228362669,0.025,0.0
