,Vmag,Bmag
0,-10.579094633837656,-9.883231312848805
1,-10.347946499865552,-9.372275429553838
2,-9.349883395780157,-7.894113239977537
3,-8.420568264867029,-6.378320289193501
4,-8.924208649846753,-7.232566154850027
5,-8.962901933645226,-7.232566154850027
6,-9.180125743139959,-7.055690060022581
7,-10.21465001838142,-9.316745858200598
8,-12.889718726672148,-12.222548131888129
9,-8.474201528258929,-6.809623484820557
10,-9.54394271535799,-8.583533583220111
11,-11.931701324770998,-11.037993520438626
12,-8.49441758216567,-6.238998871174082
13,-8.627787533719747,-6.853836876361809
14,-8.94792074737712,-6.537771034641552
15,-8.955335458881947,-7.808908848971572
16,-8.271195702875248,-6.387064129545186
17,-9.720947537104218,-8.237693219679446
18,-8.649776013723569,-7.2454889193114855
19,-10.2089464195259,-9.271694197454138
20,-9.694591934451763,-8.813649585863448
21,-8.548239793285624,-6.30945220325699
22,-10.33325905058594,-9.093364262059865
23,-8.607042393440626,-7.122786426072896
24,-11.131890333229064,-9.949725708098478
25,-9.988226489175284,-9.173220667582582
26,-8.562155303649414,-7.484881594260635
27,-10.830802348819208,-10.23745597656431
28,-8.893257928336777,-7.089125581210559
29,-9.978171202504559,-8.910931390242183
30,-8.3971267759814,-7.210414947614384
31,-10.535599992549985,-9.586402979763635
32,-11.170619860138654,-10.586186951390268
33,-10.049884648323113,-8.220575369959013
34,-8.113987903633397,-6.371034394304918
35,-7.532155654801432,-6.284664003135171
36,-9.101027106111307,-7.7563713205748455
37,-8.830276020820651,-7.480925657426205
38,-8.745200225562597,-7.55911975144222
39,-10.95567991562719,-10.232428650170311
40,-8.657757686626217,-7.857746903670362
41,-12.844973010803187,-12.446653116560583
42,-9.300220092750862,-8.572810101921842
43,-8.164082026966303,-6.640675195904727
44,-8.042314976425901,-6.666817015268311
45,-8.451183846908016,-6.7489821936275955
46,-8.974419352082352,-8.058556174187341
47,-8.374180231254444,-6.737226595389271
48,-8.330203580594418,-7.339225487582937
49,-8.272136403341614,-7.6404151100150415
50,-9.798593147752207,-8.595497668252046
