BITPIX  =                  -32 /32 BIT REAL NUMBERS              
EXT_DIR = '/Users/timn/CMDfit/Data/'   /Extinction directory     
EXT_FILE= 'with_isochrones.rv' /Extinction file                  
   3.81530905       5.51804495    
   3.83138895       10.9919024    
   3.97706747       16.0812244    
   4.01799345       21.0674610    
   4.20596361       25.6064148    
   4.28577995       29.9677944    
   4.29908705       34.3002510    
   4.29947472       38.6318665    
   4.31552362       42.9288597    
   4.34228134       47.1687584    
   4.42195606       51.2430611    
   4.42897701       55.3030891    
   4.43029976       59.3604355    
   4.53134918       63.2178764    
   4.63466883       66.8810959    
   4.69821501       70.4297638    
   4.71596670       73.9470673    
   4.95488167       77.0683289    
   5.29389000       79.7029343    
   5.57963562       81.9867783    
   5.88486576       83.9473724    
   6.02228260       85.7777710    
   6.33050156       87.3467560    
   6.40469170       88.8586121    
   6.51273775       90.2909470    
   6.75247431       91.5614853    
   6.82703829       92.7855225    
   7.19575405       93.8034821    
   7.30204153       94.7687607    
   7.71397209       95.5543518    
   8.04412365       96.2204056    
   8.53236580       96.7421875    
   8.66176033       97.2312775    
   9.22385025       97.6005325    
   9.26922131       97.9615173    
   9.72887611       98.2483826    
   9.88156414       98.5141602    
   10.1646204       98.7448654    
   10.2915268       98.9613724    
   10.3939734       99.1670837    
   10.8022947       99.3348007    
   11.0294790       99.4845047    
   11.5906696       99.5975800    
   11.7502508       99.7019882    
   12.5563354       99.7717590    
   12.5751610       99.8408737    
   13.5365820       99.8836136    
   13.6640759       99.9237137    
   14.7816887       99.9466476    
   15.6833258       99.9612579    
   16.2551670       99.9722366    
   16.4914379       99.9819946    
   17.2983494       99.9885025    
   18.4920635       99.9920959    
   19.3767509       99.9944000    
   19.6432533       99.9964218    
   20.2188530       99.9979324    
   21.0689373       99.9989243    
   22.4016190       99.9994278    
   23.6440163       99.9997101    
   24.9971962       99.9998398    
   26.2507401       99.9999161    
   27.3607063       99.9999542    
   28.7921829       99.9999771    
   29.9077072       99.9999924    
   31.0368252       100.000000    
   32.2319717       100.000000    
   33.9108047       100.000000    
   35.1616364       100.000000    
   36.4580231       100.000000    
   37.7228165       100.000000    
   39.3970985       100.000000    
   40.8176079       100.000000    
   42.3578262       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
   2772.58862       100.000000    
