,mag_B,emag_B,mag_V,emag_V
0,,,16.735788781741228,0.02778892094446358
1,,,16.828279531830354,0.02899657056200024
2,14.626370651262945,0.011882594682692241,14.004312042823537,0.007911546524173294
3,15.107984917560742,0.014930900741266939,14.337594135692786,0.009222193241489202
4,16.612866748110044,0.030477090828778718,15.483241411080655,0.015619831565030159
5,17.403864809820895,0.04434626058949476,16.062489934342956,0.02038828877778907
6,18.338188767703635,0.06906442197369027,16.763050193298714,0.0281395487310747
7,17.512868693992147,0.0466985339278975,15.721477987313065,0.01742865656838802
8,15.171767467542768,0.01538934747748952,14.453256825568943,0.009726077998743204
9,12.337046006879122,0.004013193993235297,11.669146051044335,0.0027027995911877065
10,17.794912889910574,0.05338044697401381,16.657039222136135,0.02680041515884277
11,15.905104095252282,0.021788632454959392,15.179628461449031,0.0135840697289812
12,13.491804100313564,0.006938724666741318,12.641664871717103,0.004227403496139392
13,18.520802199234787,0.07531099931231897,16.674155187494826,0.027012228949383515
14,17.745089518382414,0.05213417474968286,16.433702632160845,0.024184115937717455
15,18.119078551884108,0.062249358523802895,16.17181209801715,0.021439654930557852
16,16.703460395367955,0.0318147626584827,15.937762560813269,0.019251589071967674
17,18.33868970293871,0.06908082805612012,17.00644452211026,0.031472768786414806
18,16.283472436078817,0.02607018683035233,14.964372460678433,0.012303613727412146
19,17.310664450683547,0.04242922003809546,16.331857714620487,0.02307739455294876
20,15.231758054961226,0.01583337714325493,14.48113625709972,0.009851597101122966
21,16.02321550572536,0.023043670146866396,14.989488089787141,0.012446565095912082
22,18.456797806346465,0.07305980870291556,16.498568669617406,0.02491650677289713
23,15.396857701863429,0.017122655580508902,14.592297772234623,0.01036838383110451
24,17.43539509276485,0.0450142239612538,16.53591610032119,0.025348208737207233
25,14.565690084854646,0.011545582560302345,13.466547191450738,0.006177934318979438
26,15.329047666460411,0.01658088006158819,14.664903852217167,0.010720476091844077
27,17.079943802139177,0.038032485628302956,16.37990320118673,0.023593035588054374
