,RA,DEC,mag_B,emag_B,mag_V,emag_V,mag_BV,emag_BV
172,106.01931,1.02701,16.303647309795032,0.2100926097127262,15.446851051255102,0.10195563491981265,-0.20920374146007092,0.2162980724551331
173,105.99683,1.02643,16.637739067193326,0.21139079956280674,15.702704935182187,0.10287451486170368,-0.13096586798886123,0.21799136668187946
174,106.02287,1.0266,14.448083268846542,0.2137654969552239,13.417448474688356,0.09815653061907727,-0.03536520584181546,0.21813159374947885
175,106.03203,1.02632,16.97937270459872,0.2135903397327119,16.221848675380837,0.10526414043467307,-0.30847597078211764,0.22125183047510785
176,106.05719,1.02664,15.952695750603137,0.20951205364332295,14.903881638698216,0.10043267799476525,-0.01718588809507815,0.21501865833234762
177,105.9917,1.02534,14.764987908284944,0.21214088443649073,13.688752708457677,0.0984295142162708,0.010235199827267172,0.2166636197388652
178,106.03416,1.02585,14.97807497585993,0.2112377953119863,14.04048847880954,0.09886182121018292,-0.12841350294961118,0.21597700308427006
179,105.98976,1.02473,13.183176488589705,0.2228984061776682,11.916571764612623,0.09729780292616312,0.20060472397708096,0.2267191256396408
180,106.05764,1.02523,15.208510363209083,0.21045147402798653,14.21501308447057,0.09911474298373028,-0.07250272126148816,0.21532430238429473
181,105.98295,1.02209,16.009741688913632,0.20955657853709156,14.862498369412044,0.10033647883681725,0.08124331950158648,0.21501713558119803
182,106.01286,1.02222,14.67759273007558,0.21255668038688502,13.65734201025441,0.09839541286719523,-0.0457492801788304,0.21705529168946378
183,106.06822,1.02323,14.17768185717823,0.21539023103349708,12.92319091062641,0.09776860306771075,0.18849094655181964,0.21955102224875844
184,106.01799,1.02207,15.525057681487047,0.20972993903649362,14.619233938111343,0.09981865290800233,-0.16017625662429702,0.2149451343869397
185,105.98412,1.02136,17.09639116052987,0.21457099393108311,15.508531512504309,0.10216380419959308,0.5218596480255593,0.22074681045284822
186,105.96649,1.02097,17.169987779139266,0.2152518997437855,15.343116503285724,0.1016232397885655,0.7608712758535405,0.22115981372851842
187,106.06782,1.02232,15.612602253402827,0.20961046009854603,13.867556731936308,0.09863721984058978,0.6790455214665199,0.21428216472820363
188,106.01219,1.02077,15.883052722300672,0.20948238273207495,14.824328444597253,0.10024992975879904,-0.007275722296581799,0.21490443711508536
189,106.01037,1.01952,13.442652789734922,0.2207367525933542,12.380905968679656,0.09747099375973574,-0.004253178944733316,0.22466933161864816
190,106.00795,1.01954,16.051588801535296,0.20960110125740486,15.042575274932958,0.10077386488458191,-0.05698647339766105,0.2152649379069728
191,106.06723,1.0204,13.436303680048809,0.22078810241687644,11.528300497777362,0.09719868657775066,0.8420031822714475,0.22460180507129707
192,106.04947,1.01998,15.988470294902088,0.2095378146877718,14.992366771131028,0.10064691869882166,-0.06989647622894091,0.21514390074481363
193,105.96815,1.01811,14.992672785183212,0.2111819304427178,13.8573149174577,0.09862467371226626,0.06935786772551089,0.21581388743629054
194,106.05875,1.01896,15.893865030139459,0.2094852387358156,14.014180051332502,0.09882604904260807,0.8136849788069573,0.21424671110094928
195,105.96292,1.01747,17.165106261166173,0.21520516097704478,15.274878906051772,0.1014161059324227,0.8242273551144004,0.22101920245456536
196,105.99873,1.01773,17.434003137530652,0.2181302335163402,16.053830175362844,0.1044033052891015,0.31417296216780755,0.22523731691081395
197,106.06767,1.01887,14.936224343187373,0.21140232303391493,13.705051872852632,0.09844748175696082,0.1651724703347417,0.21594871809858665
198,106.06137,1.01851,14.1682884791946,0.21545030765209996,12.446067386862321,0.09750082933506934,0.6562210923322807,0.21949088087756824
199,106.05838,1.01841,15.38894753977641,0.20998634038855524,13.897285419032979,0.09867410239158561,0.4256621207434319,0.21466681539670565
200,105.98958,1.01692,16.358464062569876,0.21025281671903287,14.82290119614856,0.10024673341355525,0.4695628664213165,0.21565401572513238
201,106.05347,1.01799,15.220688348039749,0.2104157778955372,14.138758476663245,0.09900081153973801,0.015929871376503035,0.2152369863032624
202,105.98899,1.01601,16.733665249088624,0.21191376641452764,15.082293567401187,0.10087715359655436,0.5853716816874355,0.21756526495222944
203,106.07732,1.01708,14.846119358803424,0.21177809578542645,13.671420326606643,0.0984106122864071,0.10869903219677979,0.2162998161466782
204,106.0187,1.01579,15.56988389699643,0.2096642032991116,14.518265025402574,0.09962580542862261,-0.014381128406144805,0.21479147853756433
205,106.02027,1.0151,15.862004977391408,0.20947864477559378,14.913739846547106,0.10045596388096009,-0.1177348691556992,0.21499698438878662
206,106.01812,1.0145,14.893380188541151,0.21157737413023847,13.885507601034629,0.09865940714896496,-0.05812741249347675,0.21621670579035315
207,106.00066,1.01401,14.96966409570249,0.2112703426919465,13.96288600964401,0.0987579890139816,-0.059221913941520876,0.21596133472281148
208,106.02864,1.01423,15.964712608539093,0.20951990125865197,14.932783435471542,0.1005013550661958,-0.034070826932447895,0.21505839066071528
