,id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag
28,29,484.33772495055933,81.74742961185129,0.5787955006054498,-0.31381212669199443,-0.15784602367044,49,0.0,787.3406675847838,2.1035237134231175,-0.8073685306623781
29,30,725.8740952772564,89.20112971774648,0.6017215462104701,-0.08409088926413452,-0.08090715721270564,49,0.0,807.3672897154902,6.1408132243402145,-1.970564720791371
30,31,175.40866017271819,93.50844959907852,0.6088858358824764,-0.17332257967551062,-0.016029607772362117,49,0.0,796.3036713250991,3.703058064134667,-1.4214013046547838
31,32,258.7129884229336,95.07558613747922,0.5973202554185684,-0.010978133347440624,-0.08563710648700988,49,0.0,803.927049051783,5.558236372899433,-1.8623425297553577
32,33,326.36602036433874,96.09641858013015,0.568955526368125,-0.09430925402324496,-0.23008900542648328,49,0.0,788.7987717622414,2.337798203739737,-0.92201755151211
33,34,710.3095455282808,96.61385362048027,0.5798048170214813,-0.14314947855311205,-0.07000533691022973,49,0.0,825.7696874260303,10.044142559138566,-2.5047821703490887
34,35,33.417307691404694,111.39293041616797,0.5452263582900505,-0.0192685253024592,-0.15285578533409022,49,0.0,812.6858207377832,7.721571442972787,-2.219264235153205
35,36,320.38690234142376,112.02677655815435,0.4913231343553822,0.15942826944133248,0.07415870820960521,49,0.0,792.8340429540618,3.2233650816024477,-1.2707737423304142
36,37,317.6010993065189,117.63457052742167,0.5799623287705417,0.041006438581134966,-0.11762766317506049,49,0.0,890.832302345099,23.681237408691494,-3.436010979262133
37,38,39.48416432038273,118.88956182634254,0.5975793041311828,-0.30871050294938346,-0.291051353569146,49,0.0,789.9111935636663,2.7082646037859957,-1.0817277341817573
38,39,290.86169312287973,119.69112583321626,0.6886354903732339,-0.24600093909568294,-0.17584569662501437,49,0.0,786.1757833800912,1.5009400011547807,-0.4409083300615415
39,40,703.2672797587733,122.79610283031337,0.5286060854624121,-0.0791952321463665,-0.10420969893550781,49,0.0,800.3313563269494,5.0264045753627045,-1.7531436050783729
40,41,688.6826416546126,125.40960466590168,0.521006212281608,-0.10581461723333392,-0.04871274715187964,49,0.0,806.4184446087667,6.390548765504014,-2.0138453831101124
41,42,747.760739851132,126.76483068096357,0.5605663798488845,-0.02180051198383431,-0.19251064863008455,49,0.0,797.8900943600293,4.392373484093588,-1.606748152822243
42,43,288.4328119728058,131.16898449223018,0.5688800862006396,-0.035062376027815555,-0.16467034361994357,49,0.0,943.3763774481276,35.293423106383784,-3.86923445647776
43,44,840.9432483541829,134.08337777441156,0.5252236119074656,-0.10320748266974221,-0.05218483272674297,49,0.0,799.5272245703346,4.8643886108871675,-1.7175706574494396
44,45,635.4340966140408,134.89958620759768,0.5593071407940107,-0.07317199208074014,-0.16672562787539688,49,0.0,845.2570362641328,14.533368610172616,-2.9059157217825233
45,46,537.0987132104423,137.356391850538,0.5449670754124252,0.024788170746060722,-0.0892994604135051,49,0.0,792.9907587878239,3.2635433256927247,-1.2842234565407487
46,47,59.685054547853795,138.93909734961082,0.5879407323020767,-0.06522313827724466,-0.14029846184206232,49,0.0,1230.7166602888547,94.94965835562601,-4.943733516033477
47,48,674.8954808910165,140.03577863580142,0.6000568853346934,-0.20865704619794487,0.14421172758939582,49,0.0,989.200929156046,40.07156849835928,-4.007090855261336
48,49,447.582171763584,141.63104127528763,0.4260246364236457,0.009149686289442986,-0.15331695718033114,49,0.0,783.0724550954733,1.262194934910441,-0.2528160826311587
49,50,812.1815506666569,141.4360580482425,0.9694755189770972,0.08242169770666306,-0.1613650401163503,49,0.0,784.6631042955444,1.0414845518354026,-0.04413208128695109
50,51,770.5453686526794,144.3877518721028,0.5465173378399043,0.2099274926453678,0.022624649373982265,49,0.0,798.2134635722716,4.408600938254662,-1.6107519718573506
51,52,735.8457775245379,145.19084571061092,0.6307031993591914,-0.05745150784054096,-0.08390629554921537,49,0.0,809.7863643235936,6.427127735577023,-2.0200423283915963
52,53,673.7884210907147,145.4853103096989,0.5836862158626431,0.057009102223277555,-0.015122060039600696,49,0.0,1145.9794790714775,75.65955009857784,-4.697159386196797
53,54,766.6440787508211,149.9216398727939,0.5544153415864483,-0.038215994012777046,-0.12335015540846042,49,0.0,838.6736182064697,13.204262094145387,-2.801785340363383
54,55,718.8691049558531,151.63461234182526,0.592708610633135,-0.007099550606713965,-0.06665190814602354,49,0.0,1614.3993185306056,173.35260993551836,-5.597325961563979
55,56,266.0933207481412,156.8657466798614,0.3250271098433729,-0.11019226289772775,-0.2739427953641303,49,0.0,781.241565995759,1.0210267644129067,-0.022592816246876236
56,57,132.97276211362558,157.55585299048587,0.4403814609065053,0.01987121598882357,0.23734741484660624,49,0.0,783.1549293115768,1.4092916593472156,-0.3725022040954787
57,58,226.68265443419224,161.45224442749026,0.5402109105478471,-0.1295103718471938,-0.07945047675884023,49,0.0,1150.4440555941042,81.08874453514404,-4.772401441153257
58,59,708.8372134682987,161.8050994495714,0.6590274277429248,0.34959706888316094,-0.18450082984381497,49,0.0,788.011430682412,1.9984157173027077,-0.7517145917952689
59,60,163.83588278066694,164.77045599497913,0.5864086049199116,0.02474476835085598,-0.057052755636358206,49,0.0,799.7548032743016,4.644523448657835,-1.6673528995724647
60,61,586.2580257292964,167.56123250790625,0.6425585420963427,-0.09723932015734914,-0.15312869736932544,49,0.0,794.6869942889031,3.2109123798475054,-1.266571136488721
61,62,608.9223284031622,175.32643883529224,0.5304007986194669,0.05265169272590477,-0.07499362790511378,49,0.0,798.1700567991887,4.569076837013262,-1.6495711538448203
62,63,313.87458892620793,179.7240365600433,0.5794903318652624,0.11681017875569348,0.11523770949206139,49,0.0,786.4920137553025,1.7174870526765194,-0.5872336795075183
63,64,644.890989495325,180.03738318531637,0.5739741607125716,0.009058791001021846,-0.10799509354069757,49,0.0,862.8626043824398,17.873494273007704,-3.1305236637397345
64,65,571.2779867516897,181.1594838824578,0.5044417112256411,-0.01637965180850605,-0.24060004646074895,49,0.0,804.5221344681651,6.286926655914085,-1.996095984612707
65,66,656.8875608684211,183.45577182167952,0.5478200519862159,-0.010293367564185136,-0.024456587915705683,49,0.0,1806.8622724426366,223.14801463850387,-5.87148256812311
66,67,340.6501988696358,187.0931507485448,0.5776671075089751,-0.055363033332527053,-0.15208875253579235,49,0.0,839.467609988899,13.221875860015446,-2.8032326881500644
